,Cherry,Mango,Banana,Guava,Litchi,Wastage
697,35698,26215,35779,27585,40597,10305
698,15345,42921,49674,10869,30991,43124
699,44917,45188,1888,16397,8283,23163
700,33685,34544,35787,9865,26055,35300
701,23336,28712,14320,27176,26229,10754
702,7874,26058,37499,14555,21367,46098
703,49174,39718,44472,46372,19461,8096
704,29000,32666,28922,17398,9259,22497
705,44082,12662,29787,25359,19217,45172
706,19299,30153,19242,5827,9409,21826
707,36046,33365,1175,16484,10778,35448
708,46951,9055,38641,49325,11040,33714
709,16951,22238,43032,13923,47615,44550
710,12258,35171,12227,38147,38772,32486
711,17382,18793,36614,48006,6796,42249
712,45999,43275,48057,16761,46357,31438
713,45614,16575,19453,36881,46645,25377
714,19571,40925,23689,33153,20102,7019
715,14325,19563,43530,30724,18125,37193
716,19430,33178,8625,38979,23549,38137
717,20241,27359,41209,21136,6530,28148
718,11200,41860,31940,38024,12062,35451
719,30131,9819,21698,11535,47129,43335
720,16827,46287,12604,25605,43342,10196
721,28562,31539,30321,25954,8186,46504
722,40090,15779,26709,30284,5733,24985
723,45597,28341,16470,19521,21323,34313
724,7685,30388,17271,43387,12317,9093
725,6078,27553,48757,22049,20923,16753
726,45221,48564,31571,30972,5081,30615
727,33594,37920,31576,6232,44968,46027
728,33873,15145,11932,43920,25949,20690
729,7952,17621,43630,8017,12677,45135
730,48874,23483,15671,19816,37593,11463
731,13612,43577,25394,40984,37038,30667
732,10678,13898,16946,49926,48840,29255
733,29564,29176,11367,5383,12275,27886
734,47715,15936,32669,30080,14096,20266
735,26431,43568,42118,43360,5699,21630
736,30243,31310,38503,21592,47173,48702
737,11983,26925,37266,9289,49993,9947
738,29239,22790,39542,33069,31495,43895
739,22343,34169,4549,25458,47851,17611
740,43017,42909,35854,21652,42414,41679
741,9135,41830,14743,11622,34130,35612
742,12518,27380,14214,29422,19080,17552
743,35882,29791,1655,42483,34220,11353
744,34443,36508,48487,34382,41130,49802
745,23110,11951,3921,17878,14027,10794
746,7588,13052,37146,30235,22338,10029
747,17232,35566,9760,49677,46650,41375
748,28664,24167,19793,36357,36751,42582
749,11846,41707,23818,35037,35818,32308
750,24710,46667,45465,15884,23163,41759
751,10861,18060,39532,5760,14785,47569
752,43906,20526,4208,32759,32369,14522
753,32557,25811,39217,14952,28493,25089
754,11631,32021,4570,43947,32936,19311
755,9392,41399,15151,28374,41279,49429
756,5691,5491,9748,31411,38122,32122
757,37865,37900,7931,12930,11109,13945
758,13719,29464,46080,24677,8028,18856
759,47279,46026,6045,38189,16664,28195
760,24541,7883,39533,16956,12688,22627
761,40525,18202,4518,30026,42958,48187
762,13461,38831,14507,39695,31075,43315
763,46536,8101,14798,35269,41856,8054
764,21051,8305,46970,46780,9059,5988
765,18762,20280,34015,16137,22602,15562
766,14283,43481,32711,36204,14793,36436
767,32070,49231,27826,13499,16954,28310
768,46511,29942,26814,47458,24695,16550
769,11453,22613,7759,31426,17040,19969
770,13298,40684,48961,28596,40759,12788
771,14775,17036,21121,35925,21623,40057
772,27799,47148,24484,13609,18757,47072
773,23775,40965,12953,28797,12586,47639
774,18012,31408,45468,30399,44241,33218
775,41964,29833,8504,45157,36031,18500
776,17670,23062,18009,45290,36789,20471
777,15593,18274,23866,38973,21785,26691
778,24893,13149,35164,7128,29742,47247
779,18178,45694,35741,23412,39737,27786
780,15820,40189,19725,30945,6120,16693
781,27930,17631,5100,29725,32148,31600
782,12416,49193,22084,17656,35624,39024
783,44973,8543,38613,24135,39661,38741
784,38581,31167,24939,38781,43185,18533
785,14510,15950,36653,21565,26853,49064
786,14258,7603,4144,34790,10429,31916
787,35116,40314,41560,36406,29897,48545
788,38302,47043,22686,49454,30153,20449
789,36491,20670,4539,11986,14990,48635
790,48512,26432,18550,18591,22764,39617
791,13329,21789,8711,31031,30650,16206
792,7217,48203,43268,24960,28572,16347
793,42134,34368,31965,43093,7931,27576
794,44050,7326,32649,6751,47588,43834
795,47605,11529,43428,14990,34911,7358
796,16037,12541,28334,31913,21203,7676
797,13651,9367,8441,47298,8704,12652
798,49569,21419,45309,18360,17474,20122
799,19556,11407,48395,46919,21537,45716
800,33552,8587,26467,48057,48558,32863
801,9251,29382,34042,42153,30932,48485
802,20072,38657,42403,44356,23306,24032
803,15374,7773,40886,23551,16150,42209
804,45420,31557,7176,13544,33008,16253
805,44104,38825,8776,45051,9081,49837
806,7167,7452,2133,9395,9507,41318
807,13304,43412,11007,34346,22462,48409
808,41258,37424,15202,16779,38450,7170
809,36913,41186,44198,25694,40637,26450
810,11162,26942,23780,6027,13436,39796
811,29700,7504,40999,44075,21651,44605
812,11227,11533,45628,5648,49956,19524
813,19634,15824,46410,29595,36124,39301
814,18388,33658,17567,11020,11959,35698
815,16073,12654,19934,29434,23982,13782
816,42351,48575,4749,25963,13619,33995
817,29455,29125,17431,18413,24711,40398
818,7636,45917,22840,11940,17898,30457
819,42443,40353,33268,19035,47137,44424
820,29577,44635,5882,7065,13417,41510
821,7309,24973,43267,7722,31272,34313
822,43602,9876,22807,10126,27300,33570
823,15251,45783,25340,45474,20228,39620
824,23511,5973,22609,24462,5018,34241
825,27155,7438,41799,10568,46749,46004
826,16991,26834,35799,31738,26328,24836
827,25058,32727,15800,7407,43463,23791
828,20247,7835,14698,22195,17288,47327
829,43335,25437,1482,41254,7142,28021
830,41321,49269,44026,5015,18405,45077
831,40143,48108,28775,38890,26983,14087
832,25530,16855,730,37060,25429,49463
833,9114,7998,11570,36810,36524,30578
834,12240,47264,43097,19610,6668,20902
835,23063,14131,42781,32716,6473,15567
836,29333,39003,20463,35019,7399,48632
837,14519,22146,4005,43812,43468,12823
838,10652,7295,4523,22546,38706,21698
839,15705,20810,7058,24591,23678,5533
840,27604,10287,19798,27035,27652,31464
841,12276,30947,35354,39137,47831,23823
842,28435,41400,24940,16759,18887,41621
843,19120,24879,38773,41201,9810,48538
844,39290,21719,29746,20476,33238,29285
845,33114,24116,26357,46574,15710,17411
846,39632,43597,27514,16496,19658,5577
847,8053,28913,966,17537,46220,8017
848,7560,43556,15186,38640,24058,6399
849,33316,44959,25768,16645,46742,34234
850,14804,22853,20947,18779,13488,20374
851,46799,31723,37478,33394,12010,6470
852,23497,41913,38820,26882,40164,27480
853,47974,11088,38114,16907,47664,6081
854,31458,22980,49178,43443,6525,19872
855,39052,14921,1553,38140,33528,7589
856,43230,40492,30199,42803,43614,49367
857,11223,12339,36539,18323,44938,25806
858,31485,40809,18738,36461,16240,28792
859,22295,40367,48443,28788,22566,21164
860,38920,5654,47524,32225,10067,21074
861,33289,32948,11455,8653,13930,22373
862,10275,16619,31403,28810,20836,49183
863,6999,32934,4822,45203,7052,18757
864,38071,9918,35729,5635,48156,36869
865,28593,34099,32983,30724,20644,8684
866,38061,40214,37938,13379,33108,23332
867,11402,7141,36331,49096,38498,32938
868,47786,29858,49656,22004,42746,20890
869,11785,22702,23909,43291,16189,25597
870,23113,40120,25889,25244,24254,32720
871,23093,38367,7308,49722,23685,49431
872,20256,43505,27412,40555,37291,16575
873,46605,15059,24848,30588,15299,41527
874,13125,30359,34288,17344,5909,6882
875,28943,48832,11428,9434,8117,20004
876,6333,22179,24888,5849,43875,35232
877,48356,34985,20421,29615,36733,5643
878,6001,17563,4341,8813,26323,35254
879,35326,13981,14040,25140,20760,49553
880,22008,14173,45822,26211,17804,49376
881,9167,31556,39363,20925,30649,32075
882,36163,39645,31073,6163,44172,27500
883,16246,39717,26169,45915,12671,8103
884,24643,26268,40498,23983,6108,12039
885,49412,16903,8211,39855,8155,36693
886,33878,5392,8946,28984,37693,14724
887,32269,17006,35896,45955,40643,15021
888,33815,11589,9158,21947,31337,12794
889,7089,6498,22025,37517,29851,36587
890,36969,40313,34878,41621,41165,28902
891,43184,22737,3011,27328,32951,24477
892,13042,41932,6092,5645,38458,37941
893,37349,47318,1450,22736,22086,37236
894,28481,37200,16506,14301,27191,16864
895,35242,49893,38576,19416,7126,12079
896,22275,44768,28684,45535,16902,24370
897,47453,28638,16892,34749,7469,24978
898,38328,7357,17458,30884,20679,47436
899,40555,40863,17340,17605,18427,20152
900,29563,28219,20942,45653,21827,39602
901,24247,46316,15196,27567,11438,34398
902,30463,37933,1887,17631,35245,35854
903,36352,26892,5034,25586,30029,36309
904,9756,5823,41637,24620,41268,30344
905,6511,40734,43517,44862,47078,18650
906,17306,36716,2265,39330,6470,41313
907,8195,10712,17707,13540,13245,39102
908,6395,45153,28694,10607,34610,34480
909,44835,19279,30362,6496,13748,20614
910,17874,47204,8624,33708,24914,31129
911,5746,47593,42452,21255,47664,7480
912,22145,40184,17291,48819,22622,17268
913,31125,17902,48358,33070,11774,12128
914,14207,20863,20815,48934,10565,29528
915,34188,15170,17305,16818,25428,49199
916,36372,18045,13996,26336,5752,11224
917,24500,15545,3155,30571,15353,26823
918,23874,28202,2160,11398,36482,14570
919,27076,28407,11498,42837,27768,28047
920,8146,33868,30786,31263,10396,43796
921,13522,47595,22102,25519,43805,28934
922,33797,45997,42331,35377,21780,34119
923,31832,22285,5964,44698,39685,46885
924,38106,9375,44047,44899,40768,26840
925,18730,46594,46555,32693,26873,45956
926,27884,29769,9612,18413,26900,15856
927,33416,36501,5527,41046,39681,49750
928,20611,12971,17370,48719,8075,32330
929,16546,20986,48647,27540,47495,8540
930,22219,31298,28136,30102,19180,37374
931,40820,44919,14604,28310,32278,6831
932,49107,38519,41558,23023,21538,10496
933,31656,17934,13333,11229,46668,37370
934,26476,46025,1597,39129,18028,39383
935,15568,26049,46235,34601,48250,48719
936,10821,16694,17619,32128,26519,17180
937,43561,33972,47653,23960,11477,33671
938,38143,6741,29091,14777,16884,32280
939,19850,33482,46518,5329,41285,12652
940,15018,11246,3674,38769,19248,26067
941,13744,33311,15483,31831,36421,46187
942,37653,23847,4311,38391,20353,13764
943,5495,29454,37939,37896,42626,38212
944,42773,32944,49974,43942,8144,22093
945,41248,6201,3988,45994,41918,42470
946,47933,29860,18530,23672,37892,23832
947,38180,24287,28394,35202,36072,18580
948,45607,29361,17047,11995,16943,29907
949,27431,9705,44661,7661,19946,16962
950,32014,10222,35613,28425,18162,20146
951,46774,6545,31851,37696,42007,16823
952,26487,37554,3305,17261,12765,23808
953,39528,23067,48386,23029,36188,42511
954,6018,18895,2251,6620,13340,26615
955,33606,32565,18083,17693,18705,28107
956,21728,10513,27679,38092,7765,35094
957,47556,36656,42079,34327,46283,35892
958,19573,13476,36114,49795,13341,43534
959,8514,17272,46378,49550,25400,10398
960,44394,26851,27973,17769,37269,18669
961,24017,13642,25669,27021,30971,19988
962,25311,5924,5615,47218,23240,41126
963,27847,29147,45296,20805,40810,41801
964,24028,12577,28553,48096,38466,32466
965,35577,42363,36313,33446,20282,11602
966,29988,27328,21774,9296,13868,12694
967,44946,41138,13703,10994,17011,37582
968,44193,17991,39545,14781,10348,39377
969,22751,23132,46549,25784,7267,20026
970,24861,25483,19610,34455,44693,37540
971,8639,41389,48167,36442,44062,7849
972,19389,16451,33348,32119,16934,15456
973,42969,20986,46098,46754,38831,37040
974,9105,8259,26252,18355,23908,23339
975,42035,14303,34639,8876,17235,16401
976,48275,43904,16361,25488,30434,32497
977,25425,26096,42761,19000,29501,29524
978,34241,33446,13599,26766,47523,30804
979,22261,8576,32147,25173,31940,30836
980,29102,31469,32864,16922,40985,18246
981,46923,38962,21136,26339,13983,43658
982,33136,35750,11652,7663,22744,15829
983,23466,11254,48668,19271,46769,38146
984,18024,23217,27850,32133,43245,24337
985,23899,46237,25152,49558,26050,13692
986,7072,29033,9604,29264,41045,36632
987,21029,29256,48203,10293,22466,34519
988,14044,46360,29174,43796,13014,17060
989,26187,48270,26223,33693,17974,14932
990,13871,47713,27507,19094,46445,46187
991,45763,29914,49922,29873,44940,33006
992,19846,45293,27640,5486,9362,9603
993,9655,35741,23566,14897,16556,30387
994,43324,8054,31297,32292,36381,31211
995,18633,11062,42796,22304,42861,29203
996,20802,39372,34327,7782,8940,18944
997,49522,7046,21999,34117,7821,34541
998,22494,49680,2896,41498,26663,23687
999,41133,15207,48871,16560,10864,6922
1000,16945,31517,29785,5414,18346,48060
1001,30708,5334,30800,7467,29460,10092
1002,45572,17296,2732,45808,36756,5470
1003,42486,45854,43489,14211,41825,26654
1004,25685,48626,6882,28366,10633,40271
1005,45705,8941,45773,5601,10151,9511
1006,38464,25918,35191,23032,37387,29152
1007,7764,38317,38975,31140,19223,38243
1008,5540,22002,32670,18083,23949,47738
1009,34455,25465,19084,37466,23462,32315
1010,14410,31941,19089,35469,14353,13140
1011,41399,44368,7078,23080,28587,39866
1012,36688,21971,33636,7803,42903,31401
1013,21631,7167,43997,24965,41010,13799
1014,48974,48381,49509,5621,23464,10120
1015,38899,36212,38983,12998,42638,20542
1016,14195,34828,14329,21696,40448,45290
1017,24647,22114,46924,7539,26266,20299
1018,12388,34166,16946,34095,12183,29063
1019,7266,32409,34235,40656,16747,10149
1020,29188,13104,2017,20500,27644,41632
1021,43512,45694,4151,32920,21030,48332
1022,20374,7687,8410,23712,7468,47465
1023,24701,46855,27824,36612,15620,15162
1024,39496,41152,46535,42837,41228,5480
1025,33908,22040,45920,32347,47538,26143
1026,34042,6294,41772,12934,43086,45070
1027,24060,10063,39309,8364,24671,20948
1028,21059,48881,13839,48525,19522,38733
1029,37545,15420,27395,24953,11675,17065
1030,18974,26937,2003,13824,22016,32096
1031,18321,33981,25729,30070,40754,7927
1032,7820,36643,1807,17911,32745,5920
1033,15116,45250,46274,28807,40558,43241
1034,39473,14028,13547,27494,34799,17333
1035,21880,24770,516,6812,10469,28572
1036,6776,29942,28217,49996,6383,47284
1037,44514,34015,5084,29861,36807,23198
1038,15241,21144,10633,49117,19845,29240
1039,38013,32577,774,16480,15438,18715
1040,17494,34559,10312,13047,30337,31822
1041,19648,35516,7687,34966,24771,33821
1042,38606,43783,24482,29985,22857,24270
1043,42045,27327,27408,12026,12598,46443
1044,16647,25087,25529,23964,38971,37955
1045,43155,43668,2392,36870,10706,7630
1046,5481,31584,7262,36458,5445,33864
1047,10976,36248,39788,5446,28833,25462
1048,11977,26913,3055,42152,42926,46826
1049,31653,7831,9738,8167,10527,9247
1050,11607,26145,3236,16156,15507,36439
1051,9596,13778,29329,40992,45449,13417
1052,32732,31125,37240,44903,23788,43521
1053,34519,43061,14121,37047,8213,14772
1054,20720,31247,18828,31702,6950,40275
1055,25530,27140,26988,24347,32029,18841
1056,35703,25893,39487,9420,32080,18709
1057,37583,27000,46766,40919,30937,34869
1058,6372,19589,32152,36423,9870,25954
1059,34578,17683,39428,20123,39051,20640
1060,23407,16610,27049,22486,5621,20510
1061,27754,16026,8185,7019,6125,49555
1062,28633,45775,25055,22048,28616,40601
1063,7101,35278,30669,18496,41496,9348
1064,42648,15168,20603,16280,49766,35909
1065,36279,9571,49115,15366,14619,42593
1066,25285,14751,25749,21751,38749,49292
1067,28615,31825,9545,7302,21923,43189
1068,47419,23849,48759,8395,23626,37289
1069,14250,41655,36213,11974,41605,10818
1070,22740,7925,24520,49828,39471,21854
1071,12312,42452,35556,7664,48498,30341
1072,6061,27513,10513,12139,19291,29041
1073,5748,35786,35969,12149,35955,27933
1074,5706,21847,17371,28687,34262,26104
1075,12520,37064,41785,33614,20236,49940
1076,22034,31899,45592,32179,6881,45775
1077,38715,30665,27944,10172,33338,41021
1078,6699,25220,11111,12928,15858,19624
1079,14612,49408,11759,30034,21398,9119
1080,30863,33169,3871,48824,13268,18747
1081,11967,30260,31404,27189,19144,49290
1082,49122,45414,39874,20664,28113,26876
1083,6847,19090,2214,29445,39207,31914
1084,6416,7249,33860,7633,6299,11084
1085,28060,13283,30432,5807,23442,14124
1086,7453,37468,22365,21177,5422,6743
1087,38010,33623,16055,15914,9673,9698
1088,26603,21446,28235,19805,47232,43033
1089,38266,24526,20916,46512,35750,49899
1090,18222,20134,5986,39875,29376,23157
1091,43814,30852,4353,34123,10565,36906
1092,34264,18573,30807,35921,48608,7800
1093,46206,23972,38952,45855,32049,14585
1094,10130,40922,48023,30837,7574,17357
1095,39803,42236,45812,20959,5457,22901
1096,12361,18157,24610,25426,26458,23901
1097,30499,28073,4394,26523,45034,28690
1098,35306,20445,24947,32785,38996,28234
1099,12899,26959,23924,34496,22396,12873
1100,37682,26582,13049,7658,36256,22998
1101,31537,39130,32893,44841,36311,19216
1102,30142,30992,43407,18721,24139,40418
1103,47926,6742,41473,38937,34036,46296
1104,17079,24534,44804,48349,34800,11921
1105,20060,37150,13332,26528,42855,39554
1106,6791,25737,22532,32484,20667,43820
1107,31468,47473,17793,6369,6463,12039
1108,43288,15580,38991,46221,48267,19230
1109,13276,33415,19598,39341,31005,43397
1110,26101,31325,7990,23807,43080,13143
1111,38067,8486,23510,6685,31343,16213
1112,26504,42835,38802,32885,7595,44365
1113,10584,31826,15747,27407,22895,36775
1114,12688,5044,44802,43129,15693,47686
1115,47836,44765,18600,16078,15972,44144
1116,17975,44858,33526,43967,13574,20081
1117,30692,48111,36022,49918,49392,30265
1118,42868,14649,46673,10178,24041,27925
1119,34528,42730,41121,17499,9083,38531
1120,13511,44315,11902,12688,40731,30928
1121,11523,44412,9510,42883,24468,27758
1122,39749,20700,9609,38907,30444,28601
1123,22719,28130,20902,48217,5659,20536
1124,24490,43913,39300,42559,19176,13664
1125,36445,8475,41913,10474,24751,18521
1126,7698,34149,24169,39900,10234,39227
1127,12042,12509,49455,31222,38452,12511
1128,46854,48494,48441,42527,10365,23930
1129,45432,20775,2744,15497,13980,23377
1130,45805,30347,37828,15027,47462,39810
1131,22075,35749,18583,25704,20038,27057
1132,47530,26502,35527,19703,17500,42171
1133,5256,12485,35174,44453,11478,8266
1134,36318,21897,9176,14114,15563,43098
1135,42606,31001,42887,21145,40148,27134
1136,15541,15962,44641,12983,15078,28848
1137,42933,14155,4958,21720,23669,27564
1138,23175,14336,32456,11864,26682,46285
1139,25344,49642,34074,14552,39122,34078
1140,40919,44000,17720,19519,25350,15606
1141,47130,18016,8965,30409,18343,22296
1142,49209,23189,22769,47692,44631,16728
1143,44495,37512,40830,33419,11615,35550
1144,12473,41921,3138,26993,25143,26271
1145,42792,48142,7097,7950,36230,41914
1146,5527,45688,16587,9438,24611,19106
1147,20852,42950,17187,35988,9956,40222
1148,36680,13872,19731,19089,30175,38509
1149,35031,23173,20721,41231,26935,11809
1150,22533,47802,46993,24000,44834,41996
1151,27333,42439,38639,40006,25823,37942
1152,46345,38763,35014,8201,9178,12838
1153,44323,12045,49500,42067,19879,47980
1154,38994,12171,45697,38706,46539,38858
1155,43221,48294,27233,32955,9262,45605
1156,25486,44231,48234,48100,21724,24447
1157,41362,7385,690,37449,33438,21823
1158,10298,49174,20531,32512,30828,34755
1159,45065,27393,12027,38405,42509,44234
1160,16727,18197,9055,48117,46825,13840
1161,34322,28352,42777,11635,24191,15758
1162,35426,34144,12376,14649,46714,41805
1163,36686,44231,23351,19026,25473,15876
1164,31298,39437,11324,34401,19689,36328
1165,38967,31382,5764,35978,29611,10155
1166,20498,46234,19856,36298,48309,8251
1167,33395,41133,16283,26619,29125,6339
1168,31690,20605,41264,49483,19656,41792
1169,35195,39621,6040,33702,26791,12559
1170,31388,19961,13430,40921,39719,44416
1171,40111,28009,10659,6326,43238,26116
1172,25367,12093,2633,46715,44334,48476
1173,33385,22473,34055,38566,12062,34790
1174,6478,25995,14883,32809,20232,7960
1175,14687,16790,17942,33806,37392,21587
1176,36944,13842,5995,21420,31254,14743
1177,33821,25308,46754,34134,41386,6750
1178,18009,37682,42082,10304,18672,8370
1179,25993,25318,47023,46364,5963,22692
1180,35546,15109,31636,29673,30702,14915
1181,19903,9841,32701,11080,24663,26751
1182,28147,49354,5437,14101,42960,37691
1183,32316,32504,35769,8809,14630,47695
1184,17769,20304,44083,10478,22002,34079
1185,10546,16922,22099,29341,26390,24556
1186,45145,35223,24730,6442,35901,35087
1187,23211,48763,10997,25604,15478,46573
1188,22655,20610,5875,22051,22895,20141
1189,6495,30545,36713,30437,26986,19127
1190,22144,48306,38483,24350,13545,14721
1191,44286,20760,47378,16875,41560,49697
1192,10841,7232,28252,8369,25860,26038
1193,20032,29224,33078,18875,21085,39152
1194,26252,35770,18339,5135,9857,11750
1195,43748,14522,48034,22331,38291,10134
1196,26854,17460,20284,16059,6493,22156
1197,15759,14761,41402,49007,30712,41355
1198,27774,6228,42165,28213,5608,6898
1199,43616,33539,18764,40851,21152,6726
1200,38196,23220,34925,45525,37270,16998
1201,20384,7408,44833,20277,33579,43188
1202,35299,16747,2087,17793,8894,8762
1203,46997,26178,28401,24693,37425,49832
1204,38130,40962,18738,25898,48239,10551
1205,25765,36078,18041,15429,41962,38855
1206,5373,19654,45531,19946,32090,22289
1207,49658,42582,16793,30672,10593,30213
1208,43561,19850,46825,18040,17902,36196
1209,43833,40770,44173,39048,48231,47021
1210,47308,20655,4192,29753,34579,43489
1211,43081,35739,36868,49279,32024,47329
1212,35301,45623,8324,30128,22368,8196
1213,34757,11045,9795,40531,30744,9752
1214,41611,44268,16658,44367,18398,9407
1215,15287,26877,46177,33485,33473,16909
1216,7556,19119,24711,43433,49454,12169
1217,47008,48166,34929,8265,13370,8949
1218,6737,31388,10374,24961,8858,19912
1219,20310,5888,19500,48995,9544,44535
1220,47117,44819,32049,6551,34249,33818
1221,6465,46856,21663,13588,22996,19501
1222,18755,35943,45053,26142,38430,21254
1223,20478,42219,33718,33999,5328,43021
1224,23037,47525,26721,29897,19642,38398
1225,18799,36609,30436,39670,19461,14580
1226,22936,49547,39282,49458,35225,27077
1227,13701,22260,13870,18476,11656,22694
1228,18083,14436,18171,49432,14135,23182
1229,8280,24774,6023,32048,22565,49861
1230,12417,45891,5885,7485,34049,48037
1231,28072,22950,29155,13633,13680,21923
1232,46256,45574,40167,9929,47024,19666
1233,33146,37893,36058,44313,28619,7473
1234,21403,48780,42154,5291,17235,8982
1235,41951,49480,23318,37267,17042,44999
1236,30625,19615,14823,48034,37198,46365
1237,44584,19288,22618,19690,7132,40588
1238,29698,29011,47335,31906,21713,49574
1239,25814,8025,47429,48429,38142,33054
1240,7098,37703,35014,30215,36708,7348
1241,11951,12389,48679,44699,35993,9419
1242,9499,25489,21834,23735,39641,40634
1243,18548,20999,3860,19005,36486,17804
1244,19378,44501,31480,30042,39461,32819
1245,20268,14398,785,23998,48175,19627
1246,49419,6924,47708,28040,18778,23389
1247,17342,30914,19868,14240,23156,15720
1248,33968,38865,8968,15365,32229,17420
1249,39451,21470,45460,38969,27065,43792
1250,37006,35400,41949,21752,31591,12469
1251,34202,7605,19817,26764,21636,5530
1252,18640,11370,11280,12003,27834,18809
1253,11117,42119,39688,8517,42683,15109
1254,16973,12083,19501,8081,35566,5776
1255,7204,18724,24149,42856,39210,10032
1256,37188,45130,13588,28298,25170,47269
1257,23208,37032,26813,14395,34227,14309
1258,36007,5070,47070,33499,7664,49210
1259,32206,44184,2824,16803,15564,38801
1260,28613,6591,17920,22243,17720,11544
1261,7992,5204,1686,15881,11439,7197
1262,20152,41490,24684,8036,25723,29149
1263,30383,24666,47406,47421,49661,44610
1264,7934,7464,32923,9288,5592,11296
1265,27051,44850,26464,20006,47510,29387
1266,27161,28568,38135,11239,8109,36060
1267,27788,14218,43350,33320,39960,26280
1268,6678,27792,18217,44510,45522,44015
1269,30698,38072,41285,37505,47482,28700
1270,11918,36002,19478,36381,46677,47834
1271,49170,44456,25333,41574,20700,12682
1272,36578,36369,27799,27864,17875,49538
1273,15165,8342,2865,12178,45408,18442
1274,43478,9503,29771,12635,35736,12051
1275,41919,34007,15273,14659,14768,31275
1276,36139,12115,14023,16686,34188,49875
1277,40829,43002,7730,49537,13079,30418
1278,18277,36526,14425,29833,37497,37306
1279,10682,44163,45327,47054,15089,30065
1280,7973,45159,3184,29781,34005,27279
1281,37596,41188,46390,22843,15704,23006
1282,31124,13102,37675,43124,38966,45882
1283,34319,28356,44861,8284,31723,29063
1284,8974,21065,45625,22987,15924,15747
1285,7056,21737,19623,22397,32202,27376
1286,31942,20516,21943,25493,44942,39743
1287,14339,33121,30560,33170,36459,13411
1288,35335,29024,28144,13900,31300,20426
1289,22197,49721,36773,37630,12999,26322
1290,36520,44150,13414,20839,37953,7964
1291,24395,28298,40010,6879,16563,17412
1292,33982,26898,7672,19715,21282,20841
1293,26560,33582,24575,40252,42263,11491
1294,41834,38673,16365,44170,13492,20661
1295,35766,13539,8741,25648,27326,44929
1296,30128,48918,31134,7658,17592,32445
1297,26878,49045,16567,45428,46422,34401
1298,43973,15467,24412,11728,5221,13431
1299,31481,48173,42775,22365,21198,41255
1300,28940,23129,22542,32435,22663,37434
1301,23124,29253,19254,41244,26998,27272
1302,22544,43143,36261,11069,7720,23348
1303,25298,20218,27105,22106,22001,21190
1304,20007,44737,28835,29562,45033,24919
1305,13868,45035,39331,44818,26081,49942
1306,15951,16895,14600,16632,49746,38777
1307,42638,17607,13617,41245,23170,29201
1308,30825,30833,37723,13512,31548,48566
1309,49072,40651,11864,40153,9862,10207
1310,45267,35065,39433,19402,8889,32206
1311,26813,9678,37213,35222,19993,22003
1312,34375,16902,2078,16711,48702,7154
1313,31778,40911,40718,25388,25680,22547
1314,40900,24398,26013,9560,21126,28708
1315,16800,33727,14363,38856,34333,25383
1316,44311,6375,38298,13130,7358,39057
1317,39467,27856,48268,16657,18214,39019
1318,26083,24890,30940,15832,35398,5595
1319,40535,46962,22154,24861,45696,40926
1320,34948,31178,39893,41563,13499,16073
1321,41152,28093,28488,34460,30641,44458
1322,24531,23883,29014,14929,38880,49263
1323,28251,48583,15403,13809,32485,33003
1324,45299,11709,3235,39545,25241,16313
1325,43692,41623,22489,49259,24764,25415
1326,23424,14089,48784,26564,40179,37624
1327,10071,43834,46888,29284,8805,19137
1328,24128,32538,31847,40314,48187,39365
1329,32158,24437,969,43492,46019,47751
1330,9593,36853,35651,14874,40406,15961
1331,37066,31667,43977,45001,8130,14523
1332,9201,5124,37974,12392,8953,31123
1333,11574,18742,17853,31923,36198,23815
1334,23656,14684,42422,24897,19922,17615
1335,49942,47226,42608,43153,9575,38331
1336,44481,29186,10826,25286,27885,6612
1337,27115,13192,17601,48772,5353,35469
1338,10110,24474,34473,24726,10106,44720
1339,18629,29873,8097,32431,15041,36658
1340,22779,39517,20795,15500,8092,34859
1341,20099,49063,41911,7066,38451,17370
1342,19204,13721,32345,26001,22552,5381
1343,42780,44716,18741,22021,40880,37875
1344,45129,30359,21853,43152,40878,21627
1345,12231,19065,35955,46005,49961,39023
1346,37307,19744,19534,32805,25583,35823
1347,28130,22097,9047,10607,45231,14181
1348,7355,8014,11891,11502,9410,8825
1349,35608,34839,22604,7839,23725,36064
1350,21962,43743,14099,26795,47939,6842
1351,43950,33168,26612,17896,39039,15262
1352,46258,25364,21567,28419,46233,46847
1353,37887,45617,37009,26787,33498,31662
1354,19130,27909,36007,37614,49216,21070
1355,33817,38579,34422,49095,24424,28945
1356,13812,37547,31836,31736,16829,33274
1357,32354,14771,39598,17381,28999,8985
1358,45056,25846,13934,41947,26011,6095
1359,18018,34398,25016,9388,37742,10066
1360,10020,33533,16597,22629,12430,15001
1361,13008,11546,5036,13521,36430,5330
1362,12235,47854,6383,45455,47936,18325
1363,30689,19385,38305,43693,15350,31776
1364,29983,9749,12476,5856,31391,49623
1365,7672,34557,18097,37891,42302,41261
1366,18994,32633,9847,16861,48015,11420
1367,25884,40646,30359,19127,16213,33035
1368,44988,40906,31195,24730,27614,15965
1369,8484,22103,20416,17916,8601,36509
1370,6261,34642,13371,7427,10635,6888
1371,27542,24165,47622,21448,23313,9245
1372,14351,39711,8639,27438,15491,34503
1373,14883,26988,12019,18560,31578,27050
1374,11332,21155,39265,29919,38904,23984
1375,27948,10093,2242,28622,36169,6524
1376,46330,39934,28134,32978,15649,14864
